word,score
发展,5295
教学,3846
建设,3135
教师,2396
技术,1913
信息化,1902
职业教育,1883
高校,1858
培养,1789
体系,1738
实现,1716
推进,1659
改革,1645
创新,1632
学习,1504
学生,1450
高等教育,1388
人才,1347
学校,1325
提升,1265
社会,1237
模式,1169
能力,1154
国家,1130
实践,1070
专业,1048
信息,969
管理,958
促进,942
高职,920
推动,894
应用,874
现代,836
院校,810
提高,800
构建,780
提供,734
实施,720
理念,717
特色,700
水平,692
理论,653
队伍,621
机制,587
文化,586
智慧,573
强国,571
探索,571
课堂,561
思想,557
基础,546
加强,496
传统,490
结合,489
经济,465
科学,460
互联网,457
保障,453
落实,434
深化,415
学科,414
未来,397
区域,388
素质,388
系统,379
主体,371
